YEAR,PFR_ID,Week,PPR,predicted_PPR
2024,GibbJa01,9,14.6,17.690988762080778
2024,GibbJa01,10,12.8,14.785028224662842
2024,GibbJa01,11,19.3,17.455809599338945
2024,GibbJa01,12,24.9,17.612902360692615
2024,GibbJa01,13,10.4,16.873408503755314
2024,GibbJa01,14,19.3,15.13360781135721
2024,GibbJa01,15,28.4,16.57070959615361
2024,GibbJa01,16,25.4,16.566735362720287
2024,GibbJa01,17,26.3,17.701570263701658
2024,GibbJa01,18,46.0,17.92136821830216
2024,GibsAn00,1,1.8,8.74235543512853
2024,GibsAn00,2,11.3,3.8544067664968673
2024,GibsAn00,3,6.7,7.678284103691278
2024,GibsAn00,4,10.9,8.311053328171745
2024,GibsAn00,5,6.6,9.422120312200846
2024,GibsAn00,6,7.3,6.777578612751741
2024,GibsAn00,7,2.3,6.764314679363133
2024,GibsAn00,8,0.7,8.771113186211055
2024,GibsAn00,9,2.1,7.636936393536765
2024,GibsAn00,10,2.6,6.337584703292877
2024,GibsAn00,11,3.0,7.241703312443847
2024,GibsAn00,12,5.5,7.021117455734838
2024,GibsAn00,13,12.2,6.4206291822506865
2024,GibsAn00,15,8.4,8.168942298011029
2024,GibsAn00,16,5.6,7.072158327263994
2024,GibsAn00,17,6.3,5.897117602381404
2024,GibsAn00,18,10.1,7.028732810298876
2024,GoodTy00,2,1.2,2.762544407647669
2024,GoodTy00,5,8.7,5.020683468023039
2024,GoodTy00,6,10.5,5.206547785893832
2024,GoodTy00,7,11.1,6.878890993946527
2024,GoodTy00,10,8.9,6.103373383337118
2024,GoodTy00,15,0.3,6.721288380491055
2024,GoodTy00,16,2.2,7.148997770696768
2024,GoodTy00,18,1.5,7.588983301154429
2024,GrayEr01,1,2.5,6.804276067867023
2024,GrayEr01,4,0.1,5.058408341673632
2024,GrayEr01,5,6.4,4.176361873585732
2024,GrayEr01,6,1.3,5.546340483710604
2024,GrayEr01,7,1.9,5.11717414437192
2024,GrayEr01,8,1.3,4.302326782423732
2024,GrayEr01,12,2.6,4.144129124945618
2024,GrayEr01,16,1.2,4.846065594051449
2024,GrayEr01,18,2.0,4.8621098201824475
2024,HallBr03,1,18.3,14.531059641063788
2024,HallBr03,2,24.4,17.09773684182347
2024,HallBr03,3,18.3,14.643436135971106
2024,HallBr03,4,3.8,16.11342154703615
2024,HallBr03,5,6.7,17.31021992720428
2024,HallBr03,6,21.9,16.552149956471897
2024,HallBr03,7,26.1,14.264319430576423
2024,HallBr03,8,9.9,14.539120145526407
2024,HallBr03,9,10.5,16.17573408280349
2024,HallBr03,10,12.3,15.893662607948134
2024,HallBr03,11,31.1,13.278129647293301
2024,HallBr03,13,6.0,15.524329272882792
2024,HallBr03,15,13.1,17.981686504127833
2024,HallBr03,16,14.0,16.198182429232588
2024,HallBr03,17,6.3,16.055765114324597
2024,HallBr03,18,18.2,14.03922523921334
2024,HamxC.00,1,1.1,4.848645299434584
2024,HamxC.00,5,7.0,6.158671681403284
2024,HamxC.00,16,1.9,3.5451072491810094
2024,HamxC.00,17,3.5,4.367789749227881
2024,HarrNa00,1,8.9,11.398402922535482
2024,HarrNa00,2,8.4,13.766693274398326
2024,HarrNa00,3,13.6,11.785370933743671
2024,HarrNa00,4,10.3,11.096161228654019
2024,HarrNa00,5,9.7,13.024353876367877
2024,HarrNa00,6,20.2,10.957637031977582
2024,HarrNa00,7,16.2,11.757376647256196
2024,HarrNa00,8,16.1,12.339431174992736
2024,HarrNa00,10,11.3,12.561662474954069
2024,HarrNa00,11,13.3,11.519091773453225
2024,HarrNa00,12,7.4,11.403877510516544
2024,HarrNa00,13,24.9,12.108759598092295
2024,HarrNa00,14,11.3,12.391273291456342
2024,HarrNa00,15,3.1,12.011137449148151
2024,HarrNa00,16,4.2,11.837136557062001
2024,HarrNa00,17,10.1,10.94859300262388
2024,HarrNa00,18,15.6,12.633997662862122
2024,HenrDe00,1,10.6,12.9968923623276
2024,HenrDe00,2,16.6,10.55638209005099
2024,HenrDe00,3,30.4,19.57606981264807
2024,HenrDe00,4,35.9,17.973715383743748
2024,HenrDe00,5,16.6,17.350555571124072
2024,HenrDe00,6,25.2,14.858157150286631
2024,HenrDe00,7,25.2,15.969086390968979
2024,HenrDe00,8,14.7,18.369187798247843
2024,HenrDe00,9,26.3,16.305855125262433
2024,HenrDe00,10,14.1,18.438547202235963
2024,HenrDe00,11,10.5,18.711503935398206
2024,HenrDe00,12,14.0,18.392409763105874
2024,HenrDe00,13,14.1,16.93716780804374
2024,HenrDe00,15,6.7,16.70462450522758
2024,HenrDe00,16,20.9,13.741746595069571
2024,HenrDe00,17,24.5,12.974943611236046
2024,HenrDe00,18,30.1,15.083723407740008
2024,HerbKh00,1,0.4,8.218241370593072
2024,HerbKh00,2,8.7,6.457344319348201
2024,HerbKh00,3,0.9,5.951002377451428
2024,HerbKh00,13,1.4,6.611314372481711
2024,HerbKh00,14,2.1,6.474183719181918
2024,HerbKh00,15,0.4,7.086628139980955
2024,HerbKh00,17,2.3,6.846170862074884
2024,HerbKh00,18,15.3,5.911334252477399
2024,HillJu00,1,11.5,7.545678350888145
2024,HillJu00,2,5.2,7.88511276719948
2024,HillJu00,3,7.4,7.893705908056878
2024,HillJu00,4,21.6,7.334099379636574
2024,HillJu00,5,3.5,8.39612772567987
2024,HillJu00,6,1.4,7.446078245817218
2024,HillJu00,7,13.8,7.215715797596197
2024,HillJu00,8,2.9,7.102549253553279
2024,HillJu00,9,8.8,8.2070547731318
2024,HillJu00,10,2.0,7.589619951330589
2024,HillJu00,11,8.1,7.342256137324597
2024,HillJu00,12,14.2,7.035155448710725
2024,HillJu00,13,6.1,7.137896383073965
2024,HillJu00,15,17.8,8.195202736115679
2024,HillJu00,16,3.0,8.55760845780213
2024,HubbCh01,1,1.4,10.158484708157673
2024,HubbCh01,2,11.6,9.167669455141318
2024,HubbCh01,3,27.9,8.662485444338557
2024,HubbCh01,4,22.1,11.20710845643058
2024,HubbCh01,5,17.5,12.118920050350047
2024,HubbCh01,6,15.3,11.742157270955394
2024,HubbCh01,7,11.2,13.290638001425926
2024,HubbCh01,8,9.1,11.405147262227773
2024,HubbCh01,9,21.2,11.002203030929056
2024,HubbCh01,10,24.9,13.045127674280305
2024,HubbCh01,12,15.0,10.594461410692613
2024,HubbCh01,13,2.3,13.55200111837387
2024,HubbCh01,14,20.7,10.513327485543947
2024,HubbCh01,15,8.9,12.034885248940167
2024,HubbCh01,16,32.5,13.03031766420431
2024,HuntKa00,4,10.5,6.430044153032898
2024,HuntKa00,5,18.7,6.191196712278232
2024,HuntKa00,7,22.3,10.787252857913307
2024,HuntKa00,8,13.3,10.539800873284042
2024,HuntKa00,9,18.7,11.6473552306959
2024,HuntKa00,10,17.0,10.19520505490354
2024,HuntKa00,11,6.0,13.023157265197586
2024,HuntKa00,12,11.7,15.193004587928352
2024,HuntKa00,13,3.5,14.000639592226165
2024,HuntKa00,14,3.9,11.112988616013237
2024,HuntKa00,15,5.9,11.241743683092416
2024,HuntKa00,16,15.9,10.381541793915671
2024,HuntKa00,17,8.0,11.694116864180991
2024,IngoAl01,1,0.8,3.570089244209827
2024,IngoAl01,2,0.2,2.8312387672131107
2024,IngoAl01,3,4.4,2.558158376081194
2024,IngoAl01,5,6.3,4.615638956753549
2024,IngoAl01,7,1.4,4.207526126054564
2024,IngoAl01,8,5.2,3.3805748636760926
2024,IngoAl01,13,3.5,2.1925403329920434
2024,IngoAl01,16,0.4,4.4365605519702775
2024,IngoAl01,18,4.1,3.65355140290472
2024,JacoJo01,1,12.4,12.375355874230348
2024,JacoJo01,2,13.1,13.948554189708084
2024,JacoJo01,3,5.8,14.692610266986273
2024,JacoJo01,4,11.8,12.272728796430288
2024,JacoJo01,5,16.4,14.87968429918158
2024,JacoJo01,6,12.0,13.765478701300644
2024,JacoJo01,7,20.2,13.20321312312876
2024,JacoJo01,8,25.5,14.775632786894777
2024,JacoJo01,9,12.8,14.957824449809438
2024,JacoJo01,11,23.4,14.737784333081036
2024,JacoJo01,12,28.6,16.792057229300287
2024,JacoJo01,13,21.7,15.876236864238935
2024,JacoJo01,14,24.6,13.866024937445582
2024,JacoJo01,15,21.6,15.914904850350457
2024,JacoJo01,16,20.7,16.532356994253647
2024,JacoJo01,17,10.9,14.69270645300341
2024,JacoJo01,18,11.6,15.760371065885252
2024,JohnDE04,2,2.6,6.336766203728238
2024,JohnDE04,3,1.2,4.732398221793255
2024,JohnDE04,5,3.0,4.894158657714766
2024,JohnDE04,6,6.4,4.6180595424676865
2024,JohnDE04,7,10.0,9.13650937205681
2024,JohnDE04,8,3.3,4.6792053448677855
2024,JohnDE04,9,0.6,5.759986811799548
2024,JohnDE04,11,0.3,4.748446222739936
2024,JohnDE04,16,1.8,5.357747075248335
2024,JohnDE04,17,3.1,6.282943020330478
2024,JohnDE04,18,3.6,5.060672342928931
2024,JohnRo07,3,10.2,5.881954879437597
2024,JohnRo07,4,8.6,7.4321393016664326
2024,JohnRo07,5,14.5,9.658297098694717
2024,JohnRo07,6,5.3,8.919692188478509
2024,JohnRo07,8,6.6,7.5431103717210295
2024,JohnRo07,9,4.1,7.524260186642589
2024,JohnRo07,10,1.1,11.35383448979297
2024,JohnRo07,11,11.1,6.3206018756245825
2024,JohnRo07,12,8.2,7.086969733018793
2024,JohnRo07,16,0.3,7.1446907857283
2024,JohnRo07,17,0.5,6.543445193348697
2024,JohnRo07,18,6.9,6.770752787362468
2024,JohnTy02,1,0.7,5.8757586484706925
2024,JohnTy02,2,4.2,1.8464677445431827
2024,JohnTy02,3,13.6,3.6819250664406318
2024,JohnTy02,4,6.3,4.398152298906894
