#G,TGT,REC,REC%,YDS,Y/REC,TD,OFF,RECV,DROP,FUM,PBLK,PASS,RECV.1,RT%,PBLK.1,PB%,SLOT,SLT%,WIDE,WID%,INL,INL%,YAC,YAC/REC,Y/RR,ADOT,LNG,DRP,DRP%,CTT,CTC,CTC%,INT,FUM.1,MTF,1ST,RTG,PFR_ID
16.0,47.0,34.0,72.3,324,9.5,4.0,73.0,77.3,79.4,77.1,58.2,244.0,216.0,88.5,21.0,8.6,42.0,17.2,52.0,21.3,147.0,60.2,88.0,2.6,1.5,9.4,33.0,1.0,2.9,0.0,0.0,,3.0,0.0,0.0,19.0,92.9,MoorEv00
17.0,122.0,75.0,61.5,1219,16.3,8.0,78.4,77.2,71.0,82.4,,630.0,599.0,95.1,0.0,0.0,86.0,13.7,544.0,86.3,0.0,0.0,505.0,6.7,2.04,13.3,95.0,5.0,6.3,0.0,0.0,,4.0,0.0,14.0,56.0,103.1,WallMi00
14.0,35.0,24.0,68.6,271,11.3,0.0,80.2,76.9,85.3,76.8,,162.0,155.0,95.7,0.0,0.0,145.0,89.5,16.0,9.9,0.0,0.0,162.0,6.8,1.75,6.0,26.0,0.0,0.0,0.0,0.0,,1.0,0.0,3.0,12.0,79.6,HawkAn00
16.0,44.0,27.0,61.4,354,13.1,6.0,76.3,76.9,49.1,27.5,75.2,234.0,213.0,91.0,8.0,3.4,154.0,65.8,27.0,11.5,49.0,20.9,69.0,2.6,1.66,11.5,36.0,4.0,12.9,0.0,0.0,,1.0,0.0,1.0,21.0,116.9,ScheTo00
16.0,114.0,79.0,69.3,942,11.9,5.0,78.7,76.6,84.1,51.9,72.1,640.0,560.0,87.5,61.0,9.5,151.0,23.6,10.0,1.6,448.0,70.0,365.0,4.6,1.68,8.0,64.0,4.0,4.8,0.0,0.0,,3.0,1.0,11.0,47.0,97.9,WittJa00
13.0,81.0,42.0,51.9,848,20.2,5.0,75.9,76.5,40.3,78.6,,332.0,315.0,94.9,0.0,0.0,37.0,11.1,294.0,88.6,0.0,0.0,276.0,6.6,2.69,15.3,80.0,6.0,12.5,0.0,0.0,,1.0,0.0,5.0,32.0,104.3,ThomDe03
16.0,132.0,76.0,57.6,1004,13.2,7.0,76.0,76.3,64.0,81.8,,585.0,550.0,94.0,0.0,0.0,100.0,17.1,485.0,82.9,0.0,0.0,330.0,4.3,1.83,10.4,55.0,5.0,6.2,0.0,0.0,,7.0,0.0,6.0,46.0,77.3,JohnSt00
16.0,121.0,75.0,62.0,960,12.8,4.0,76.3,76.2,88.2,81.6,,594.0,577.0,97.1,0.0,0.0,73.0,12.3,521.0,87.7,0.0,0.0,289.0,3.9,1.66,11.7,56.0,2.0,2.6,0.0,0.0,,4.0,0.0,5.0,50.0,84.0,WaynRe00
7.0,2.0,1.0,50.0,1,1.0,1.0,68.7,76.1,64.7,61.2,69.5,8.0,5.0,62.5,2.0,25.0,0.0,0.0,0.0,0.0,8.0,100.0,0.0,0.0,0.2,9.5,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,95.8,WilsKr00
16.0,118.0,74.0,62.7,1023,13.8,7.0,76.7,76.0,77.4,82.0,,581.0,558.0,96.0,0.0,0.0,377.0,64.9,204.0,35.1,0.0,0.0,355.0,4.8,1.83,11.4,57.0,5.0,6.3,0.0,0.0,,5.0,0.0,4.0,47.0,92.6,WashNa00
4.0,1.0,1.0,100.0,24,24.0,0.0,69.9,75.9,64.7,61.2,69.1,9.0,7.0,77.8,2.0,22.2,0.0,0.0,0.0,0.0,9.0,100.0,6.0,6.0,3.43,18.0,24.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,118.8,GrahGa00
15.0,91.0,61.0,67.0,642,10.5,6.0,73.9,75.4,59.6,44.4,63.8,561.0,441.0,78.6,98.0,17.5,116.0,20.7,33.0,5.9,405.0,72.2,228.0,3.7,1.46,8.2,31.0,6.0,9.0,0.0,0.0,,1.0,1.0,8.0,33.0,104.7,GresJe00
16.0,110.0,68.0,61.8,947,13.9,5.0,76.0,75.3,87.3,48.5,65.7,599.0,567.0,94.7,1.0,0.2,103.0,17.2,496.0,82.8,0.0,0.0,210.0,3.1,1.67,13.6,45.0,2.0,2.9,0.0,0.0,,5.0,1.0,2.0,50.0,85.7,GaffJa00
18.0,37.0,28.0,75.7,353,12.6,6.0,87.3,74.9,66.0,76.1,77.9,360.0,232.0,64.4,116.0,32.2,28.0,7.8,2.0,0.6,323.0,89.7,170.0,6.1,1.52,7.6,56.0,1.0,3.4,0.0,0.0,,0.0,0.0,1.0,17.0,144.5,DreeJo00
14.0,64.0,37.0,57.8,729,19.7,2.0,75.9,74.9,63.4,28.9,,334.0,321.0,96.1,0.0,0.0,51.0,15.3,283.0,84.7,0.0,0.0,161.0,4.4,2.27,15.2,81.0,3.0,7.5,0.0,0.0,,2.0,1.0,4.0,32.0,95.1,KnoxJo00
16.0,54.0,35.0,64.8,382,10.9,3.0,74.6,74.8,89.3,78.4,,301.0,287.0,95.3,0.0,0.0,130.0,43.2,168.0,55.8,1.0,0.3,153.0,4.4,1.33,11.8,33.0,0.0,0.0,0.0,0.0,,2.0,1.0,13.0,16.0,88.7,TateGo00
16.0,37.0,30.0,81.1,271,9.0,0.0,80.3,74.7,58.0,76.5,77.1,385.0,222.0,57.7,151.0,39.2,38.0,9.9,14.0,3.6,235.0,61.0,194.0,6.5,1.22,3.5,30.0,3.0,9.1,0.0,0.0,,0.0,0.0,10.0,12.0,97.2,McMiRa01
14.0,81.0,54.0,66.7,858,15.9,11.0,75.7,74.6,53.5,79.7,68.1,411.0,399.0,97.1,1.0,0.2,44.0,10.7,367.0,89.3,0.0,0.0,268.0,5.0,2.15,12.3,74.0,7.0,11.5,0.0,0.0,,2.0,0.0,1.0,36.0,131.1,RobiLa01
8.0,32.0,19.0,59.4,283,14.9,1.0,72.8,74.5,69.6,25.5,,121.0,115.0,95.0,0.0,0.0,51.0,42.1,68.0,56.2,0.0,0.0,148.0,7.8,2.46,9.2,41.0,1.0,5.0,0.0,0.0,,4.0,2.0,3.0,14.0,59.2,FordJa01
16.0,123.0,70.0,56.9,1104,15.8,7.0,72.0,74.5,64.0,81.9,,581.0,544.0,93.6,0.0,0.0,82.0,14.1,499.0,85.9,0.0,0.0,297.0,4.2,2.03,14.3,58.0,5.0,6.7,0.0,0.0,,7.0,0.0,2.0,45.0,82.2,GreeA.00
13.0,94.0,63.0,67.0,859,13.6,5.0,75.4,74.0,51.1,45.5,60.9,483.0,459.0,95.0,1.0,0.2,69.0,14.3,413.0,85.5,0.0,0.0,278.0,4.4,1.87,11.8,59.0,6.0,8.7,0.0,0.0,,2.0,1.0,1.0,44.0,104.9,MaclJe00
16.0,110.0,60.0,54.5,1106,18.4,9.0,75.9,73.8,51.8,80.8,,607.0,574.0,94.6,0.0,0.0,144.0,23.7,463.0,76.3,0.0,0.0,217.0,3.6,1.93,18.3,58.0,8.0,11.8,0.0,0.0,,9.0,0.0,5.0,55.0,82.6,JackVi00
