RANK,PLAYER,#,POS,#G,TEAM,SNP,ATT,YDS,YPA,TD,FUM,OFF,RUN,FUM,RBLK,YCO,YCO/A,MTF,LNG,10+,ZONE,GAP,SCR,SYDS,DYDS,D15+,BAY,BAY%,1ST,PEN,RECV,PBLK,TGT,REC,YDS,RSNP,Y/RR,DRP
11,Rex Burkhead,# 33,HB,11,CIN,78,74,344,4.6,2,1,75.9,75.3,62.3,59.9,224,3.03,11,17,8,36,36,0,0,344,3,50,14.5,23,0 (0),67.5,73.7,20,17,145,108,1.34,0
11,LeSean McCoy,# 25,HB,15,BUF,283,234,"1,267",5.4,13,3,78.6,75.3,77.0,52.6,567,2.42,43,75,34,67,159,0,0,"1,267",22,564,44.5,54,1 (0),86.8,50.8,54,50,356,254,1.40,1
13,Antonio Andrews,# 26,HB,4,TEN,4,2,15,7.5,0,0,84.1,75.0,71.9,60.0,8,4.00,0,9,0,0,2,0,0,15,0,0,0.0,0,0 (0),56.4,-,0,0,0,5,0.00,0
14,Thomas Rawls,# 34,HB,11,SEA,173,147,544,3.7,4,0,75.2,74.9,90.2,61.0,343,2.33,22,45,15,104,40,0,0,544,5,136,25.0,33,0 (0),55.8,87.0,18,14,97,142,0.68,1
15,Devonta Freeman,# 24,HB,19,ATL,293,266,"1,241",4.7,13,1,76.4,73.8,87.1,52.5,613,2.30,40,75,34,199,58,0,0,"1,241",18,457,36.8,70,0 (0),76.4,56.5,73,64,630,345,1.83,3
16,Damien Williams,# 26,HB,16,MIA,48,38,129,3.4,3,1,74.9,73.7,50.0,55.7,108,2.84,14,23,5,29,4,0,0,129,3,53,41.1,8,1 (1),82.0,45.3,29,24,253,106,2.39,0
17,Jalen Richard,# 30,HB,17,OAK,95,86,494,5.7,1,0,79.6,73.1,91.0,60.0,309,3.59,21,75,10,23,50,0,0,494,7,201,40.7,14,0 (0),82.4,83.6,41,31,202,135,1.50,3
18,Kenyan Drake,# 32,HB,17,MIA,37,33,179,5.4,2,0,65.6,72.5,86.6,60.0,85,2.58,5,45,4,26,6,0,0,179,2,61,34.1,9,0 (0),47.7,84.4,11,9,46,68,0.68,2
18,Jacquizz Rodgers,# 32,HB,10,TB,135,129,560,4.3,2,0,72.8,72.5,89.9,60.0,353,2.74,18,45,16,68,52,0,0,560,6,144,25.7,29,0 (0),62.5,67.7,15,13,98,142,0.69,0
20,Kyle Juszczyk,# 44,FB,16,BLT,110,5,22,4.4,1,0,75.6,72.1,79.2,67.7,14,2.80,0,10,1,2,0,0,0,22,0,0,0.0,3,0 (0),71.1,91.0,42,37,266,242,1.10,1
21,Isaiah Pead,# 22,HB,2,MIA,9,8,22,2.8,0,0,70.3,71.7,73.1,-,12,1.50,3,4,0,7,1,0,0,22,0,0,0.0,0,0 (0),57.5,66.3,1,1,6,12,0.50,0
22,Ameer Abdullah,# 21,HB,2,DET,21,18,101,5.6,0,0,78.9,70.6,77.6,60.0,75,4.17,6,24,3,11,7,0,0,101,1,24,23.8,6,0 (0),89.2,85.5,5,5,57,26,2.19,0
23,Andy Janovich,# 32,FB,11,DEN,152,4,33,8.3,1,0,67.4,69.9,71.6,62.0,26,6.50,1,28,1,0,0,0,0,33,1,28,84.8,2,0 (0),63.5,83.9,6,5,44,67,0.66,0
24,Terrance West,# 28,HB,16,BLT,217,193,774,4.0,5,2,73.9,69.2,67.9,60.8,508,2.63,28,41,19,137,52,0,0,774,12,272,35.1,34,1 (0),79.3,67.3,40,34,236,155,1.52,1
25,Jonathan Grimes,# 41,HB,11,HST,30,29,146,5.0,0,0,69.4,68.6,81.1,81.6,77,2.66,4,14,3,13,10,0,0,146,0,0,0.0,8,0 (0),66.1,74.9,21,17,137,123,1.11,1
26,DeAndre Washington,# 33,HB,15,OAK,102,91,483,5.3,2,1,65.2,68.4,65.3,60.1,297,3.26,9,30,12,43,43,0,0,483,7,176,36.4,20,0 (0),51.1,75.4,23,17,115,127,0.91,2
27,David Johnson,# 31,HB,16,ARZ,326,293,"1,243",4.2,16,5,79.9,68.3,53.2,72.2,741,2.53,44,58,34,98,179,0,0,"1,243",11,300,24.1,73,1 (1),90.0,71.0,107,80,879,509,1.73,4
28,Corey Grant,# 30,HB,6,JAX,37,32,164,5.1,1,0,67.1,68.0,83.4,60.0,122,3.81,3,57,3,26,5,0,0,164,1,57,34.8,6,0 (0),60.3,64.8,4,4,35,53,0.66,0
29,Stepfan Taylor,# 30,HB,4,ARZ,9,4,12,3.0,0,0,65.1,67.9,68.6,60.1,16,4.00,0,12,1,2,2,0,0,12,0,0,0.0,1,0 (0),-,17.7,0,0,0,0,,0
30,DeAngelo Williams,# 34,HB,12,PIT,132,114,379,3.3,5,0,67.8,67.7,89.4,55.6,270,2.37,12,17,9,41,62,0,0,379,4,64,16.9,23,0 (0),63.3,71.9,33,25,169,175,0.97,3
30,Mark Ingram II,# 22,HB,16,NO,237,205,"1,043",5.1,6,2,71.2,67.7,70.8,60.4,628,3.06,42,75,25,86,104,0,0,"1,043",11,314,30.1,49,3 (0),79.6,69.2,52,46,319,239,1.33,1
32,Matt Jones,# 31,HB,7,WAS,110,99,460,4.6,3,3,67.2,67.4,44.0,60.0,282,2.85,12,57,14,48,51,0,0,460,7,166,36.1,28,1 (0),62.8,64.1,8,8,73,79,0.92,0
33,Tevin Coleman,# 26,HB,16,ATL,164,147,635,4.3,9,1,74.6,66.6,76.8,72.7,402,2.73,16,55,12,114,25,0,0,635,9,223,35.1,30,0 (0),85.9,63.1,45,38,484,201,2.41,3
34,Bronson Hill,# 34,HB,2,JAX,3,2,11,5.5,0,0,68.6,66.4,65.2,60.0,9,4.50,1,7,0,1,1,0,0,11,0,0,0.0,0,0 (0),57.1,-,0,0,0,3,0.00,0
35,Robert Turbin,# 33,HB,15,IND,59,47,164,3.5,7,0,66.1,66.2,55.0,58.4,116,2.47,10,18,2,24,18,0,0,164,1,18,11.0,20,0 (0),55.2,90.0,33,26,179,166,1.08,3
36,Terrell Watson,# 35,HB,1,PHI,9,9,28,3.1,1,0,67.4,66.1,73.1,-,19,2.11,0,8,0,2,7,0,0,28,0,0,0.0,2,0 (0),63.1,-,1,1,5,3,1.67,0
36,Darren McFadden,# 20,HB,4,DAL,26,24,87,3.6,0,0,59.1,66.1,78.9,60.0,51,2.13,1,24,2,13,10,0,0,87,2,42,48.3,5,0 (0),36.6,77.6,5,3,17,19,0.89,2
36,Darren Sproles,# 43,HB,15,PHI,117,94,438,4.7,2,0,67.8,66.1,90.4,58.9,249,2.65,19,25,14,43,43,0,0,438,6,108,24.7,22,1 (0),66.9,77.6,63,52,427,318,1.34,4
39,Theo Riddick,# 25,HB,10,DET,103,92,357,3.9,1,0,72.0,65.5,89.2,58.0,251,2.73,15,42,11,49,38,0,0,357,4,96,26.9,19,0 (0),80.1,77.2,62,53,371,254,1.46,4
39,Melvin Gordon III,# 28,HB,13,SD,272,254,997,3.9,10,2,68.9,65.5,75.3,71.1,626,2.46,34,48,24,118,111,0,0,997,16,385,38.6,61,0 (0),70.9,68.8,53,41,419,310,1.35,1
41,Chris Thompson,# 25,HB,16,WAS,79,68,356,5.2,3,2,63.2,65.0,50.0,60.6,213,3.13,14,25,9,23,40,0,0,356,5,93,26.1,16,0 (0),57.7,68.0,59,49,349,309,1.13,3
41,Shaun Draughn,# 24,HB,14,SF,93,74,196,2.6,4,1,61.1,65.0,62.8,64.6,146,1.97,11,18,4,68,6,0,0,196,2,34,17.3,15,2 (2),57.2,43.1,37,29,263,182,1.45,3
41,Isaiah Crowell,# 34,HB,16,CLV,240,198,952,4.8,7,2,67.5,65.0,69.2,57.6,630,3.18,23,85,26,75,111,0,0,952,16,452,47.5,45,0 (0),72.2,58.4,47,40,319,212,1.50,5
44,DeMarco Murray,# 29,HB,16,TEN,354,293,"1,287",4.4,9,3,69.5,64.6,69.2,85.6,699,2.39,46,75,32,133,154,0,0,"1,287",9,286,22.2,66,3 (0),70.4,83.6,64,53,377,355,1.06,1
45,Bobby Rainey Jr.,# 43,HB,12,NYG,22,18,63,3.5,0,0,73.0,64.4,83.1,60.0,30,1.67,2,14,1,7,10,0,0,63,0,0,0.0,4,0 (0),84.7,83.8,24,21,161,98,1.64,0
45,Terron Ward,# 28,HB,5,ATL,36,31,151,4.9,0,0,60.7,64.4,79.8,60.0,75,2.42,3,45,3,22,9,0,0,151,2,71,47.0,6,0 (0),41.3,76.2,2,1,11,26,0.42,1
45,Peyton Barber,# 43,HB,10,TB,64,55,223,4.1,1,0,59.4,64.4,84.0,60.0,125,2.27,7,44,2,22,30,0,0,223,1,44,19.7,10,1 (0),43.9,47.2,6,5,28,50,0.56,1
45,Rob Kelley,# 32,HB,14,WAS,188,168,704,4.2,6,0,59.7,64.4,90.4,67.8,477,2.84,35,66,15,89,78,0,0,704,9,238,33.8,28,1 (1),31.2,55.9,17,12,82,110,0.75,4
45,Jonathan Stewart,# 28,HB,13,CAR,279,218,824,3.8,9,3,63.0,64.4,55.4,65.0,599,2.75,47,47,21,73,142,0,0,824,9,227,27.5,47,0 (0),40.0,84.8,16,8,60,179,0.34,4
50,Carlos Hyde,# 28,HB,13,SF,256,217,988,4.6,6,5,63.6,64.2,32.7,66.8,664,3.06,37,47,26,161,55,0,0,988,12,309,31.3,47,1 (0),55.6,70.7,32,27,163,229,0.71,1
51,Paul Perkins,# 28,HB,14,NYG,128,122,486,4.0,0,1,63.2,64.1,71.9,60.0,262,2.15,11,22,10,43,73,0,0,486,3,60,12.3,23,2 (0),61.4,66.0,25,18,189,152,1.24,1
51,Spencer Ware,# 32,HB,15,KC,263,222,956,4.3,4,4,72.3,64.1,47.4,74.6,631,2.84,31,46,21,113,105,0,0,956,7,182,19.0,50,1 (0),88.5,55.8,46,35,448,276,1.62,1
53,Mack Brown,# 34,HB,2,WAS,12,8,82,10.3,1,0,64.8,64.0,73.1,60.0,14,1.75,0,61,1,3,5,0,0,82,1,61,74.4,1,0 (0),61.0,-,1,1,-2,5,-0.40,0
53,Matt Forte,# 22,HB,14,NYJ,239,218,813,3.7,7,1,63.8,64.0,82.4,58.0,524,2.40,18,32,18,126,73,0,0,813,10,220,27.1,35,0 (0),56.5,76.0,37,30,263,194,1.36,4
55,Jalston Fowler,# 45,FB,16,TEN,145,1,3,3.0,0,0,67.1,63.7,64.6,64.2,2,2.00,0,3,0,0,0,0,0,3,0,0,0.0,0,0 (0),52.3,85.0,1,1,14,28,0.50,0
55,Jay Prosch,# 45,FB,17,HST,154,5,10,2.0,0,0,71.6,63.7,71.5,71.4,7,1.40,0,5,0,0,0,0,0,10,0,0,0.0,4,0 (0),54.4,64.1,1,1,6,33,0.18,0
57,T.J. Yeldon,# 24,HB,15,JAX,147,130,465,3.6,1,2,66.1,63.5,60.5,60.1,294,2.26,23,16,11,96,32,0,0,465,4,61,13.1,20,0 (0),69.4,63.7,60,50,312,305,1.02,2
58,Lance Dunbar,# 25,HB,14,DAL,12,9,31,3.4,1,1,53.9,63.4,28.0,59.7,17,1.89,1,10,1,2,3,0,0,31,0,0,0.0,3,1 (1),56.5,19.6,22,16,122,101,1.21,2
58,Jeremy Hill,# 32,HB,15,CIN,242,222,839,3.8,9,0,63.4,63.4,90.9,57.5,546,2.46,23,74,13,115,107,0,0,839,7,240,28.6,42,1 (0),64.1,40.3,25,21,174,160,1.09,0
60,Christine Michael,# 32,HB,18,GB,188,164,641,3.9,7,2,58.3,63.2,60.7,58.1,447,2.73,35,42,15,124,36,0,0,641,4,120,18.7,36,1 (0),40.4,76.7,29,23,110,178,0.62,3
