#G,SNP,ATT,YDS,YPA,TD,FUM,OFF,RUN,FUM.1,RBLK,YCO,YCO/A,MTF,LNG,10+,ZONE,GAP,SCR,SYDS,DYDS,D15+,BAY,BAY%,1ST,RECV,PBLK,TGT,REC,YDS.1,RSNP,Y/RR,DRP,PFR_ID
14.0,68.0,58.0,207,3.6,0.0,0.0,72.0,70.0,85.4,58.9,139,2.4,10.0,12.0,4.0,31.0,26.0,0.0,0.0,207,0.0,0,0.0,12.0,72.9,54.1,8.0,7.0,58.0,32.0,1.81,0.0,CoruBl00
19.0,39.0,32.0,126,3.9,0.0,0.0,60.6,69.9,82.1,60.0,76,2.38,4.0,35.0,2.0,14.0,15.0,0.0,0.0,126,1.0,35,27.8,5.0,63.0,38.9,26.0,20.0,198.0,213.0,0.93,1.0,OgunDa00
7.0,60.0,39.0,183,4.7,1.0,0.0,60.4,69.8,83.0,56.9,119,3.05,5.0,29.0,3.0,33.0,6.0,0.0,0.0,183,1.0,29,15.8,11.0,33.7,65.9,11.0,3.0,25.0,86.0,0.29,2.0,TaylPa01
17.0,234.0,192.0,839,4.4,5.0,4.0,58.4,69.6,29.8,40.0,546,2.84,34.0,45.0,18.0,99.0,81.0,0.0,0.0,839,10.0,263,31.3,39.0,40.6,35.1,50.0,38.0,284.0,310.0,0.92,6.0,TracTy00
20.0,48.0,21.0,100,4.8,1.0,0.0,67.2,69.5,82.4,54.1,52,2.48,2.0,13.0,3.0,16.0,4.0,0.0,0.0,100,0.0,0,0.0,8.0,69.9,58.9,35.0,29.0,339.0,235.0,1.44,2.0,PeriSa00
14.0,82.0,36.0,183,5.1,1.0,0.0,65.6,69.5,81.9,63.2,119,3.31,6.0,23.0,4.0,23.0,13.0,0.0,0.0,183,2.0,41,22.4,12.0,53.8,67.5,15.0,13.0,78.0,80.0,0.98,1.0,BrooCh00
2.0,13.0,13.0,32,2.5,0.0,0.0,70.6,69.1,74.7,,32,2.46,3.0,8.0,0.0,8.0,5.0,0.0,0.0,32,0.0,0,0.0,2.0,55.9,74.5,0.0,0.0,0.0,4.0,0.0,0.0,McClJa05
18.0,133.0,2.0,10,5.0,1.0,1.0,51.1,69.0,18.7,53.5,3,1.5,0.0,8.0,0.0,1.0,0.0,0.0,0.0,10,0.0,0,0.0,1.0,37.7,62.0,7.0,6.0,43.0,83.0,0.52,0.0,HamxC.00
8.0,39.0,31.0,172,5.5,0.0,0.0,67.3,69.0,38.4,59.6,108,3.48,10.0,25.0,4.0,14.0,16.0,0.0,0.0,172,2.0,41,23.8,8.0,58.7,44.3,3.0,3.0,22.0,28.0,0.79,0.0,McInKe00
15.0,161.0,99.0,456,4.6,4.0,3.0,69.8,69.0,28.9,52.4,252,2.55,13.0,50.0,9.0,44.0,46.0,0.0,0.0,456,5.0,158,34.6,22.0,72.6,42.3,54.0,47.0,450.0,283.0,1.59,2.0,EkelAu00
16.0,233.0,209.0,876,4.2,5.0,6.0,62.0,68.7,30.0,67.5,636,3.04,36.0,42.0,26.0,124.0,82.0,0.0,0.0,876,11.0,230,26.3,38.0,47.5,57.7,75.0,57.0,483.0,384.0,1.26,8.0,HallBr03
16.0,155.0,122.0,517,4.2,1.0,2.0,64.3,68.3,59.2,52.5,390,3.2,30.0,22.0,14.0,84.0,33.0,0.0,0.0,517,4.0,72,13.9,29.0,70.9,22.4,47.0,42.0,329.0,232.0,1.42,1.0,WarrJa01
14.0,56.0,48.0,164,3.4,1.0,0.0,62.3,68.2,85.1,58.0,120,2.5,5.0,14.0,3.0,31.0,14.0,0.0,0.0,164,0.0,0,0.0,11.0,52.7,46.3,9.0,9.0,57.0,77.0,0.74,0.0,WillJa06
4.0,57.0,50.0,202,4.0,0.0,1.0,71.3,68.1,51.2,57.3,135,2.7,5.0,19.0,6.0,36.0,12.0,0.0,0.0,202,2.0,37,18.3,12.0,72.8,77.2,19.0,15.0,146.0,91.0,1.6,0.0,McCaCh01
9.0,32.0,20.0,70,3.5,0.0,0.0,62.8,67.8,79.6,60.0,38,1.9,1.0,9.0,0.0,9.0,10.0,0.0,0.0,70,0.0,0,0.0,2.0,50.3,80.4,16.0,12.0,71.0,54.0,1.31,1.0,MimsJo00
12.0,103.0,84.0,312,3.7,4.0,1.0,67.8,67.8,88.7,59.1,235,2.8,20.0,23.0,9.0,37.0,41.0,0.0,0.0,312,2.0,42,13.5,19.0,68.0,51.8,33.0,30.0,224.0,167.0,1.34,1.0,SpeaTy00
2.0,4.0,4.0,10,2.5,0.0,0.0,70.0,67.4,69.4,,6,1.5,0.0,7.0,0.0,4.0,0.0,0.0,0.0,10,0.0,0,0.0,2.0,71.3,,2.0,1.0,13.0,7.0,1.86,0.0,WatsBl00
15.0,102.0,84.0,420,5.0,4.0,1.0,64.6,67.3,27.7,56.7,255,3.04,14.0,76.0,9.0,60.0,20.0,0.0,0.0,420,6.0,171,40.7,18.0,56.7,41.7,16.0,15.0,152.0,107.0,1.42,1.0,GuerIs00
14.0,229.0,204.0,931,4.6,9.0,0.0,66.6,67.1,90.8,68.9,611,3.0,38.0,61.0,27.0,81.0,120.0,0.0,0.0,931,10.0,296,31.8,49.0,54.5,69.6,36.0,32.0,153.0,227.0,0.67,2.0,DobbJK00
14.0,75.0,66.0,311,4.7,2.0,1.0,68.3,67.0,70.8,30.3,172,2.61,13.0,40.0,8.0,44.0,22.0,0.0,0.0,311,2.0,57,18.3,13.0,80.7,46.1,45.0,40.0,261.0,258.0,1.01,0.0,AbduAm00
10.0,44.0,34.0,159,4.7,1.0,0.0,67.6,65.7,83.0,60.2,85,2.5,3.0,57.0,2.0,16.0,15.0,0.0,0.0,159,2.0,73,45.9,5.0,66.0,65.0,4.0,4.0,35.0,24.0,1.46,0.0,ShipWi00
12.0,139.0,108.0,387,3.6,4.0,0.0,64.5,65.7,88.4,67.5,287,2.66,14.0,43.0,6.0,59.0,48.0,0.0,0.0,387,1.0,43,11.1,18.0,50.4,49.1,4.0,3.0,6.0,66.0,0.09,0.0,EdwaGu00
17.0,294.0,253.0,959,3.8,6.0,2.0,61.3,65.7,75.0,35.7,623,2.46,37.0,56.0,18.0,111.0,126.0,0.0,0.0,959,9.0,244,25.4,43.0,59.5,28.3,50.0,42.0,386.0,353.0,1.09,1.0,SwifDA00
17.0,137.0,3.0,7,2.3,0.0,0.0,61.2,65.6,67.2,65.7,7,2.33,0.0,4.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0,0.0,1.0,48.8,79.7,0.0,0.0,0.0,29.0,0.0,0.0,GillRe00
2.0,4.0,3.0,11,3.7,0.0,0.0,65.1,65.4,71.0,59.8,7,2.33,0.0,6.0,0.0,2.0,0.0,0.0,0.0,11,0.0,0,0.0,1.0,59.1,,1.0,1.0,8.0,3.0,2.67,0.0,JoneVe00
10.0,105.0,96.0,347,3.6,1.0,0.0,63.3,65.2,88.0,55.6,218,2.27,7.0,34.0,4.0,57.0,35.0,0.0,0.0,347,1.0,34,9.8,14.0,54.6,66.9,20.0,15.0,96.0,132.0,0.73,1.0,PachIs00
4.0,18.0,10.0,31,3.1,0.0,0.0,57.0,64.9,75.9,60.1,30,3.0,3.0,9.0,0.0,6.0,3.0,0.0,0.0,31,0.0,0,0.0,2.0,28.5,78.1,2.0,0.0,0.0,9.0,0.0,1.0,AlixRa00
5.0,13.0,13.0,51,3.9,0.0,0.0,53.0,64.9,74.9,,29,2.23,1.0,9.0,0.0,8.0,5.0,0.0,0.0,51,0.0,0,0.0,3.0,41.0,18.9,3.0,1.0,-2.0,24.0,-0.08,1.0,BoonMi00
15.0,139.0,113.0,437,3.9,4.0,2.0,62.1,64.5,50.2,41.2,317,2.81,24.0,43.0,10.0,53.0,56.0,0.0,0.0,437,4.0,98,22.4,24.0,54.0,71.9,24.0,21.0,119.0,164.0,0.73,1.0,SingDe00
10.0,49.0,43.0,155,3.6,0.0,1.0,55.8,64.4,82.3,70.0,120,2.79,7.0,19.0,2.0,13.0,29.0,0.0,0.0,155,2.0,35,22.6,7.0,34.8,47.1,8.0,5.0,62.0,84.0,0.74,3.0,VidaKi00
13.0,48.0,32.0,135,4.2,0.0,1.0,67.6,64.2,47.2,58.0,112,3.5,10.0,14.0,6.0,14.0,17.0,0.0,0.0,135,0.0,0,0.0,7.0,73.1,33.4,14.0,12.0,80.0,53.0,1.51,0.0,PattCo00
