RANK,PLAYER,#,POS,#G,TEAM,TGT,REC,REC%,YDS,Y/REC,TD,OFF,RECV,DROP,FUM,PBLK,PASS,RECV,RT%,PBLK,PB%,SLOT,SLT%,WIDE,WID%,INL,INL%,YAC,YAC/REC,Y/RR,ADOT,LNG,DRP,DRP%,CTT,CTC,CTC%,INT,FUM,MTF,1ST,RTG
53,Erik Swoope,# 86,TE,7,IND,10,8,80.0,87,10.9,3,72.1,74.2,76.5,70.1,72.5,57,52,91.2,3,5.3,24,42.1,4,7.0,29,50.9,14,1.8,1.67,11.2,26,0,0.0,4,3,75.0,0,0,0,5,142.5
54,Leonte Carroo,# 88,WR,3,MIA,4,2,50.0,94,47.0,1,76.1,74.0,68.3,66.2,-,26,25,96.2,0,0.0,7,26.9,19,73.1,0,0.0,40,20.0,3.76,26.3,74,0,0.0,0,0,,0,0,0,2,135.4
54,Adam Humphries,# 10,WR,16,TB,103,76,73.8,816,10.7,5,75.2,74.0,84.2,87.5,-,604,567,93.9,0,0.0,507,83.9,92,15.2,2,0.3,433,5.7,1.44,6.0,51,3,3.8,13,6,46.2,1,0,9,48,108.7
56,Cole Beasley,# 11,WR,18,DAL,90,69,76.7,715,10.4,3,74.6,73.8,87.1,86.4,-,553,513,92.8,0,0.0,482,87.2,69,12.5,0,0.0,234,3.4,1.39,7.4,32,2,2.8,8,4,50.0,0,0,2,42,110.2
57,DJ Moore,# 12,WR,16,CAR,76,54,71.1,781,14.5,2,71.8,73.7,67.5,21.4,64.9,461,432,93.7,1,0.2,152,33.0,298,64.6,1,0.2,427,7.9,1.81,9.6,82,4,6.9,17,7,41.2,3,1,17,32,96.4
58,Javon Wims,# 83,WR,3,CHI,5,4,80.0,32,8.0,0,74.2,73.3,72.1,67.0,-,12,11,91.7,0,0.0,5,41.7,7,58.3,0,0.0,2,0.5,2.91,7.0,16,0,0.0,2,2,100.0,0,0,0,2,93.3
58,Robert Foster,# 16,WR,13,BUF,44,27,61.4,541,20.0,3,72.1,73.3,75.5,75.9,-,282,263,93.3,0,0.0,38,13.5,243,86.2,0,0.0,160,5.9,2.06,21.0,75,1,3.6,9,5,55.6,0,0,0,20,127.2
60,Mo Alie-Cox,# 81,TE,11,IND,14,7,50.0,133,19.0,2,69.1,73.1,35.7,70.1,72.6,98,62,63.3,31,31.6,17,17.3,5,5.1,75,76.5,48,6.9,2.15,12.3,34,2,22.2,6,1,16.7,1,0,1,6,93.2
60,Vernon Davis,# 85,TE,14,WAS,35,25,71.4,367,14.7,2,61.0,73.1,64.1,75.7,66.7,246,197,80.1,32,13.0,63,25.6,34,13.8,147,59.8,173,6.9,1.86,11.6,53,2,7.4,9,4,44.4,1,0,8,16,112.4
62,Deontay Burnett,# 18,WR,5,NYJ,15,10,66.7,143,14.3,0,74.0,73.0,58.9,71.1,61.8,88,85,96.6,1,1.1,29,33.0,59,67.0,0,0.0,24,2.4,1.68,11.5,29,1,9.1,3,1,33.3,1,0,1,7,69.6
